TF_count,combination,R,R_squared,RMSE,N,file
3,ATF1_ATF4_CREB1,0.6574626864684119,0.43225718409826125,0.35246121256755647,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_02_ATF1_ATF4_CREB1_rate_invert.txt
3,ATF1_ATF4_CREB3,0.5503892101522979,0.30292828265207034,0.4065795948218818,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_03_ATF1_ATF4_CREB3_rate_invert.txt
3,ATF1_ATF4_CREB5,0.6646519077976983,0.4417621585391201,0.34803458749629956,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_04_ATF1_ATF4_CREB5_rate_invert.txt
3,ATF1_ATF4_CREM,0.7429571303495641,0.5519852975372592,0.3144190557252055,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_05_ATF1_ATF4_CREM_rate_invert.txt
3,ATF1_ATF7_CREB1,0.7530321843329136,0.5670574706411993,0.296002303549345,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_06_ATF1_ATF7_CREB1_rate_invert.txt
3,ATF1_ATF7_CREB3,0.6727436669824771,0.45258404146503006,0.34420254409240525,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_07_ATF1_ATF7_CREB3_rate_invert.txt
3,ATF1_ATF7_CREB5,0.6946509755075478,0.4825399777735878,0.33795080750296985,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_08_ATF1_ATF7_CREB5_rate_invert.txt
3,ATF1_ATF7_CREM,0.7249915939358749,0.5256128112776804,0.3118742479420994,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_09_ATF1_ATF7_CREM_rate_invert.txt
3,ATF1_CREB1_CREB3,0.6268190560686596,0.39290212905080546,0.3560629326314657,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_10_ATF1_CREB1_CREB3_rate_invert.txt
3,ATF1_CREB1_CREB5,0.7419352816047996,0.5504679620899933,0.30854590118067465,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_11_ATF1_CREB1_CREB5_rate_invert.txt
3,ATF1_CREB1_CREM,0.8188105716750447,0.6704507522868135,0.25446930259205575,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_12_ATF1_CREB1_CREM_rate_invert.txt
3,ATF1_CREB3_CREB5,0.6626576637387888,0.43911517931174965,0.3448099692750619,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_13_ATF1_CREB3_CREB5_rate_invert.txt
3,ATF1_CREB3_CREM,0.7529746283748516,0.5669707909762459,0.2919060517743757,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_14_ATF1_CREB3_CREM_rate_invert.txt
3,ATF1_CREB5_CREM,0.705248345004466,0.4973752281315383,0.32007171750500424,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_15_ATF1_CREB5_CREM_rate_invert.txt
