TF_count,fit_level,combination,R,R_squared,RMSE,N,file
3,medium,CREB1-ATF4-ATF7,0.8376869364662288,0.7017194035261757,0.25045955955914995,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-ATF4-ATF7_medium_seed830015_rate_invert.txt
3,medium,CREB1-CREB3-ATF1,0.8035575339742488,0.645704710406776,0.27216093599134616,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-CREB3-ATF1_medium_seed830003_rate_invert.txt
3,medium,CREB1-CREB3-ATF4,0.8389748967337536,0.7038788773494125,0.24108902508686683,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-CREB3-ATF4_medium_seed830004_rate_invert.txt
3,medium,CREB1-CREB3-ATF7,0.8358353533238163,0.6986207378659488,0.2513071165871447,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-CREB3-ATF7_medium_seed830005_rate_invert.txt
3,medium,CREB1-CREB3-CREB5,0.8253210210705476,0.6811547878209313,0.26538887855946364,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-CREB3-CREB5_medium_seed830001_rate_invert.txt
3,medium,CREB1-CREB3-CREM,0.8364884472221736,0.6997129223361632,0.23928632195675534,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-CREB3-CREM_medium_seed830002_rate_invert.txt
3,medium,CREB1-CREB5-ATF1,0.799478288884634,0.6391655343979024,0.28669899728769965,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-CREB5-ATF1_medium_seed830007_rate_invert.txt
3,medium,CREB1-CREB5-ATF4,0.8125996909694834,0.6603182577636999,0.2494242402372424,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-CREB5-ATF4_medium_seed830008_rate_invert.txt
3,medium,CREB1-CREB5-ATF7,0.8193943560450243,0.6714071107184401,0.2633729031921064,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-CREB5-ATF7_medium_seed830009_rate_invert.txt
3,medium,CREB1-CREB5-CREM,0.8454386157912624,0.7147664530710459,0.24655181494579573,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-CREB5-CREM_medium_seed830006_rate_invert.txt
3,medium,CREB1-CREM-ATF1,0.8252578826196248,0.6810505728258265,0.24973483253874088,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-CREM-ATF1_medium_seed830010_rate_invert.txt
3,medium,CREB1-CREM-ATF4,0.8319965706540297,0.6922182935800658,0.2436643454641062,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-CREM-ATF4_medium_seed830011_rate_invert.txt
3,medium,CREB1-CREM-ATF7,0.7915067315957045,0.6264829061613146,0.2724384466819534,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-CREM-ATF7_medium_seed830012_rate_invert.txt
3,medium,CREB3-ATF1-ATF4,0.6050108123081306,0.366038083009744,0.39398911575682477,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB3-ATF1-ATF4_medium_seed830023_rate_invert.txt
3,medium,CREB3-ATF1-ATF7,0.6753373762334076,0.4560805717378231,0.3472047694185945,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB3-ATF1-ATF7_medium_seed830024_rate_invert.txt
3,medium,CREB3-ATF4-ATF7,0.7148970989427199,0.511077862076717,0.32067201576915816,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB3-ATF4-ATF7_medium_seed830025_rate_invert.txt
3,medium,CREB3-CREB5-ATF1,0.6806219070169826,0.46324618031143405,0.33995580192463515,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB3-CREB5-ATF1_medium_seed830017_rate_invert.txt
3,medium,CREB3-CREB5-ATF4,0.6773145815417811,0.4587550423691181,0.3426507657019795,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB3-CREB5-ATF4_medium_seed830018_rate_invert.txt
3,medium,CREB3-CREB5-ATF7,0.7785488801812493,0.6061383588314774,0.28014821853148825,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB3-CREB5-ATF7_medium_seed830019_rate_invert.txt
3,medium,CREB3-CREB5-CREM,0.7983246798673463,0.637322294485301,0.2696927998998519,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB3-CREB5-CREM_medium_seed830016_rate_invert.txt
3,medium,CREB3-CREM-ATF1,0.7836415858783964,0.6140941351180081,0.28609158839525806,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB3-CREM-ATF1_medium_seed830020_rate_invert.txt
