group,TF,repeat,annealing_status,R,R_squared,RMSE,N,file
non-family,POU3F2,1,valid,0.6411125105429781,0.4110252511747202,0.3426180272957033,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_10_CREB1_POU3F2_scramble1_rate_invert.txt
non-family,POU3F2,2,valid,0.6440851124431959,0.4148456320709643,0.34587698400908007,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_10_CREB1_POU3F2_scramble2_rate_invert.txt
non-family,POU3F2,3,valid,0.6441558313285973,0.41493673503463635,0.3456294479349767,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_10_CREB1_POU3F2_scramble3_rate_invert.txt
non-family,POU3F2,4,valid,0.6403436201842685,0.4100399519106947,0.3452436150877256,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_10_CREB1_POU3F2_scramble4_rate_invert.txt
non-family,POU3F2,5,valid,0.6433362944101874,0.41388158770543126,0.34717128561241956,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_10_CREB1_POU3F2_scramble5_rate_invert.txt
non-family,SOX4,1,valid,0.6435551782393922,0.4141632674387359,0.3471043924391902,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_11_CREB1_SOX4_scramble1_rate_invert.txt
non-family,SOX4,2,valid,0.6434894682941507,0.41407869580548873,0.3472567361547704,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_11_CREB1_SOX4_scramble2_rate_invert.txt
non-family,SOX4,3,valid,0.6436075235903632,0.41423064442211993,0.3468418990047361,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_11_CREB1_SOX4_scramble3_rate_invert.txt
non-family,SOX4,4,valid,0.64411623795297,0.4148857279946871,0.34593986421716355,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_11_CREB1_SOX4_scramble4_rate_invert.txt
non-family,SOX4,5,valid,0.6441288036028182,0.414901915630798,0.3456656398239534,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_11_CREB1_SOX4_scramble5_rate_invert.txt
non-family,TCF3,1,s=-nan,0.6390962168851425,0.4084439744369011,0.34334922086344216,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_12_CREB1_TCF3_scramble1_rate_invert.txt
non-family,TCF3,2,valid,0.5910855884132589,0.34938217282984846,0.4297677017269507,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_12_CREB1_TCF3_scramble2_rate_invert.txt
non-family,TCF3,3,valid,0.6425466839953082,0.4128662411133665,0.3463512501339961,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_12_CREB1_TCF3_scramble3_rate_invert.txt
